#,关键词,法规,别称
3,,《资本成本、公司财务和投资理论》,
4,,《外商投资企业和外国企业所得税法实施细则》,
5,,《中华人民共和国企业所得税法实施条例》,
,,,
1,竞业禁止,《瑞士劳动合同法》,
2,,《意大利民法典》,
3,,《劳动法》,
4,,《促进科技成果转化法》,
5,,《合同法》,
6,,《商法》,
7,,《宪法》,
8,,《专利代理条例》,
9,,《商标法实施细则》,
10,,《劳动合同法》,
11,,《公司法》,
12,,《中外合资经营企业法实施条例》,
13,,《公司登记管理若干问题的规定》,
14,,《合伙企业法》,
,,,
1,资产收购,,
,,,
1,特殊重组,,
,,,
1,补充医疗保险,《治安管理处罚法》,
2,,《中华人民共和国残疾人证》,
3,,《北京市企业补充医疗保险暂行办法》,
4,,《北京市基本医疗保险规定》,
,,,
1,继承法,《中华人民共和国继承法》,
2,,《中华人民共和国宪法》,
,,,
1,股权投资基金,《公司法》,
2,,《证券法》,
3,,《国务院关于同意支持中关村科技园区建设国家自主创新示范区的批复》,
4,,《中共北京市委北京市人民政府关于促进首都金融业发展的意见》,
5,,《北京市人民政府关于金融促进首都经济发展的意见》,
6,,《关于促进股权投资基金业发展的意见》,
7,,《信托法》,
,,,
1,物业管理条例,《物业管理条例》,
2,,《国务院关于修改〈物业管理条例〉的决定》,
3,,《中华人民共和国物权法》,
4,,《物权法》,
5,,《郑州市物业管理条例（草案）》,
6,,《条例》,
7,,《业主大会章程》,
,,,
1,税,《说文》,
2,,《急就篇》,
3,,《谷梁传·宣公十五年》,
4,,《大戴礼记·主言》,
5,,《汉书·食货志》,
6,,《周礼·掌交》,
7,,《汉书·刑法志》,
8,,《说文通训定声》,
9,,《孟子·梁惠王上》,
10,,《宋史·食货志》,
11,,《禹贡》,
12,,《左传·襄公二十七年》,
13,,《后汉书》,
14,,《韩非子·外储说右下》,
15,,《韩非子·显学》,
16,,《汴路即事》,
17,,《复庵记》,
18,,《李娃传》,
19,,《左传·成公九年》,
20,,《墨子·三辩》,
21,,《孟子·告子下》,
22,,《史记·李斯列传》,
23,,《吕氏春秋·慎大》,
24,,《礼记·檀弓上》,
25,,《史记·郦生·陆贾传》,
26,,《南都周刊》,
27,,《车船税法（草案）》,
28,,《春秋》,
29,,《中华人民共和国增值税暂行条例》,
30,,《实施细则》,
31,,《增值税若干具体问题的规定》,
32,,《增值税部分货物征税范围注释》,
33,,《增值税专用发票使用规定》,
34,,《中华人民共和国土地增值税暂行条例》,
35,,《中华人民共和国消费税暂行条例》,
36,,《中华人民共和国营业税暂行条例》,
37,,《中华人民共和国企业所得税暂行条例》,
38,,《中华人民共和国外商投资企业和外国企业所得税法》,
39,,《中华人民共和国个人所得税法》,
40,,《关于个人所得税若干政策问题的通知》,
41,,《对储蓄存款利息所得征收个人所得税的实施办法》,
42,,《中华人民共和国资源税暂行条例》,
43,,《资源税若干问题的规定》,
44,,《中华人民共和国城镇土地使用税暂行条例》,
45,,《城市房地产税暂行条例》,
46,,《中华人民共和国城市维护建设税暂行条例》,
47,,《中华人民共和国耕地占用税暂行条例》,
48,,《关于耕地占用税具体政策的规定》,
49,,《中华人民共和国固定资产投资方向调节税暂行条例》,
50,,《中华人民共和国车辆购置税暂行条例》,
51,,《中华人民共和国车船使用税暂行条例》,
52,,《车船使用牌照税暂行条例》,
53,,《中华人民共和国印花税暂行条例》,
54,,《国家税务局关于印花税若干具体问题的规定》,
55,,《中华人民共和国契税暂行条例》,
56,,《屠宰税暂行条例》,
57,,《中华人民共和国筵席税暂行条例》,
58,,《中华人民共和国农业税条例》,
59,,《农业税条例》,
60,,《国务院关于对农业特产收入征收农业税的规定》,
61,,《财政部关于农业特产税征收具体事项的通知》,
62,,《中华人民共和国进出口关税条例》,
63,,《关于入境旅客行李物品和个人邮递物品征收进口税办法》,
,,,
1,两免三减半,《中华人民共和国外商投资企业和外国企业所得税法》,
2,,《外商投资企业和外国企业所得税汇算清缴涉税事宜通知书》,
3,,《汇编》,
4,,《中华人民共和国外商投资企业和外国企业所得税法实施细则》,
5,,《国家税务总局关于外商投资企业获利年度的确定和减免税期限计算问题的通知》,
6,,《国家税务总局关于外商投资企业兼营生产性和非生产性业务如何享受税收优惠问题的通知》,
7,,《国家税务总局关于外商投资企业外方投资不到位有关企业所得税税务处理问题的通知》,
8,,《中华人民共和国外商投资企业和外国企业所得税税法》,
9,,《国务院关于实施企业所得税过渡优惠政策的通知》,
10,,《实施企业所得税过渡优惠政策表》,
,,,
1,技术合同,《合同法》,
2,,《中华人民共和国合同法》,
3,,《合同书》,
4,,《干燥塔工艺参数记录表》,
5,,《燃料与燃烧》,
6,,《油掺水乳化燃烧技术》,
7,,《中华人民共和国民事诉讼法》,
8,,《中国合同法实务操作丛书》,
9,,《_________章程》,
,,,
1,软件企业,《鼓励软件产业和集成电路产业发展的若干政策》,
2,,《关于进一步鼓励软件产业和集成电路产业发展企业所得税政策的通知》,
3,,《集成电路设计企业认定管理办法》,
4,,《软件企业认定管理办法》,
5,,《关于软件企业认定工作有关事项的通知[1] 》,
6,,《工业和信息化部 国家发展和改革委员会 财政部 国家税务总局关于印发软件企业认定管理办法的通知》,
7,,《财政部 国家税务总局关于进一步鼓励软件产业和集成电路产业发展企业所得税政策的通知》,
8,,《软件企业认定标准及管理办法（试行）》,
9,,《软件产品登记证书》,
10,,《软件企业认定申请书》,
11,,《财政部国家税务总局关于软件产品增值税政策的通知》,
,,,
1,国家税务总局关于加强股权转让所得征收个人所得税管理的通知,,
,,,
1,合伙企业,《中华人民共和国合伙企业法》,
2,,《公司条例》,
,,,
1,财政部、国家税务总局关于营业税若干政策问题的通知,,
,,,
1,进料加工,,
,,,
1,企业合并,《公司法》,
2,,《破产法》,
3,,《关于企业兼并的暂行办法》,
4,,《暂行办法》,
,,,
1,representative office,,
,,,
1,办公用品,,
,,,
1,全年一次性奖金,《国家税务总局关于在我国境内无住所的个人取得奖金征税问题的通知》,
2,,《国家税务总局关于在中国境内有住所的个人取得奖金征税问题的通知》,
3,,《国家税务总局关于企业经营者试行年薪制后如何计征个人所得税的通知》,
,,,
1,直接收款,,
,,,
1,拆迁补偿安置协议,《民法通则》,
2,,《合同法》,
3,,《央广新闻》,
4,,《国有土地上房屋征收与补偿条例（草案）》,
5,,《全国人民代表大会常务委员会关于修改〈中华人民共和国城市房地产管理法〉的决定》,
6,,《宁波市征收集体所有土地房屋拆迁条例》,
7,,《宁波市征收集体所有土地房屋拆迁条例实施细则》,
8,,《新明街道老庙社区集体土地房屋拆迁补偿安置实施方案》,
9,,《条例》,
10,,《细则》,
11,,《方案》,
12,,《城市房屋拆迁管理条例》,
13,,《海南省城镇房屋拆迁许可证》,
14,,《中华人民共和国合同法》,
,,,
1,代表机构,,
,,,
1,环境保护法,《中华人民共和国环境保护法》,
2,,《中华人民共和国突发事件应对法》,
3,,《中华人民共和国侵权责任法》,
4,,《环保法修订案》,
5,,《关于办理环境污染刑事案件适用法律若干问题的解释》,
,,,
1,收汇,,
,,,
1,1,《西德罕塔》,
2,,《信德欣德》,
3,,《印度计数算法》,
4,,《计算之书》,
5,,《说文解字》,
6,,《老子》,
,,,
1,劳动合同法实施条例,《中华人民共和国劳动合同法实施条例》,
2,,《中华人民共和国劳动合同法》,
3,,《劳动保障监察条例》,
4,,《中华人民共和国劳动争议调解仲裁法》,
,,,
1,中华人民共和国中外合资经营企业法,《关于修改〈中华人民共和国中外合资经营企业法〉的决定》,
2,,《全国人民代表大会关于修改〈中华人民共和国中外合资经营企业法〉的决定》,
,,,
1,中华人民共和国个人所得税法实施条例,《全国人民代表大会常务委员会关于修改〈中华人民共和国个人所得税法〉的决定》,
2,,《国务院关于修改〈中华人民共和国个人所得税法实施条例〉的决定》,
3,,《中华人民共和国个人所得税法实施条例》,
4,,《个税》,
5,,《中华人民共和国个人所得税法》,
6,,《条例》,
7,,《中华人民共和国外交特权与豁免条例》,
8,,《中华人民共和国领事特权与豁免条例》,
9,,《中华人民共和国国务院关于对来华工作的外籍人员工资、薪金所得减征个人所得税的暂行规定》,
10,,《关于贯彻执行修改后的个人所得税法有关问题的公告》,
,,,
1,垄断,《孟子》,
2,,《反垄断法》,
3,,《邮政法》,
,,,
1,财税 2009 59,,
,,,
1,工龄,《安置老弱病残干部的暂行办法》,
2,,《国家教委、劳动部、人事部关于博士生和在职人员考取硕士生学习期间工龄计算问题的通知》,
3,,《国务院批转国家教育委员会〈关于出国留学人员工作的若干暂行规定〉的通知》,
4,,《劳动法》,
5,,《职工带薪年休假条例》,
6,,《上海市劳动合同规定》,
7,,《上海市外商投资企业劳动人事管理条例》,
8,,《关于本市劳动者在履行劳动合同期间患病或者非因工负伤的医疗期标准的规定》,
9,,《中华人民共和国劳动保险条例实施细则修正草案》,
10,,《草案》,
,,,
1,道路事故,,
,,,
1,企业职工患病或非因工负伤医疗期规定,《中华人民共和国劳动法》,
2,,《企业职工患病或非因工负伤医疗期规定》,
3,,《关于贯彻执行〈中华人民共和国劳动法〉若干问题的意见》,
4,,《医疗期规定》,
,,,
1,增值税改革,《中华人民共和国增值税暂行条例》,
2,,《中华人民共和国增值税暂行条例实施细则》,
3,,《中华人民共和国增值税暂行条例(修订草案)》,
4,,《中华人民共和国消费税暂行条例(修订草案)》,
5,,《中华人民共和国营业税暂行条例(修订草案)》,
,,,
1,所得税法,,
,,,
1,个人所得税代扣代缴暂行办法,《中华人民共和国个人所得税法》,
2,,《中华人民共和国税收征收管理法》,
3,,《扣缴个人所得税报告表》,
4,,《扣缴缴个人所得税报告表》,
5,,《全国人民代表大会常务委员会关于惩治偷税抗税犯罪的补充规定》,
,,,
1,洗钱,《英汉证券投资词典》,
2,,《完善中国反洗钱体系总体实施方案》,
,,,
1,非法集资,《关于取缔非法金融机构和非法金融业务活动中有关问题的通知》,
2,,《关于审理非法集资刑事案件具体应用法律若干问题的解释》,
3,,《关于进一步打击非法集资等活动的通知》,
4,,《整顿乱集资乱批设金融机构和乱办金融业务实施方案》,
5,,《企业债券管理条例》,
6,,《实施方案》,
7,,《关于对拟发行上市企业改制情况进行调查的通知》,
8,,《国务院办公厅关于立即停止利用发行会员证进行非法集资等活动的通知》,
9,,《会员卡管理试行办法》,
10,,《试行办法》,
11,,《关于不得给一个平方米单位产权颁发“房屋所有权证”的通知》,
12,,《商品房销售管理办法》,
13,,《国务院关于加强彩票市场管理的通知》,
14,,《关于加强彩票市场管理的通知》,
15,,《国务院关于禁止传销经营活动的通知》,
16,,《关于严厉打击传销和变相传销等非法经营活动的意见》,
17,,《关于加强土地转让管理严禁炒卖土地的通知》,
18,,《关于加强农林开发项目信贷管理，严禁利用土地开发和土地转让名义非法集资的通知》,
19,,《关于坚决制止中小学乱收费的规定》,
20,,《民办教育促进法》,
21,,《预算法》,
22,,《关于查处企业以招商等名义非法集资有关问题的紧急通知》,
23,,《证券法》,
24,,《森林法》,
25,,《领导干部谨防沦为非法集资的“活道具”》,
26,,《商业银行法》,
27,,《保险法》,
28,,《证券投资基金法》,
29,,《银行业监管管理法》,
30,,《非法金融机构和非法金融业务活动取缔办法》,
31,,《解释》,
,,,
1,转让股权,《公司法》,
2,,《合同法》,
3,,《公司变更登记申请表》,
4,,《个人股东变动情况报告表》,
5,,《公司股权转让的税费处理》,
6,,《国家税务总局关于企业股权投资业务若干所得税问题的通知》,
7,,《国家税务总局关于印发的通知》,
8,,《国家税务总局关于执行需要明确的有关所得税问题的通知》,
9,,《财政部、国家税务总局关于股权转让有关营业税问题的通知》,
10,,《国家税务总关于印花税若干具体问题的解释和规定的通知》,
11,,《关于企业股权投资业务若干所得税问题的通知》,
12,,《关于外商投资企业投资者股权变更的若干规定》,
13,,《担保法》,
14,,《公司登记管理条例》,
15,,《关于人民法院执行工作若干问题的规定（试行）》,
16,,《中华人民共和国公司法》,
17,,《中华人民共和国公证暂行条例》,
18,,《法人执照》,
19,,《资产评估报告》,
,,,
1,中外合资经营企业法实施条例,《中华人民共和国中外合资经营企业法》,
2,,《中外合资经营企业法》,
3,,《中华人民共和国统计法》,
4,,《中华人民共和国个人所得税法》,
5,,《中华人民共和国外汇管理条例》,
6,,《中华人民共和国外商投资企业和外国企业所得税法》,
7,,《中华人民共和国工会法》,
8,,《中国工会章程》,
9,,《中外合资经营企业合营期限暂行规定》,
10,,《外商投资企业清算办法》,
,,,
1,土地增值税暂行条例,《中华人民共和国土地增值税暂行条例》,
2,,《中华人民共和国税收征收管理法》,
,,,
1,国有资产转让,《中华人民共和国企业国有资产法》,
2,,《国有资产评估管理办法》,
,,,
1,company law,,
,,,
1,劳动法 南京,,
,,,
1,国税发[2010]19号,,
,,,
1,中华人民共和国印花税暂行条例实施细则,,
,,,
1,外商投资房地产,,
,,,
1,外商投资商业企业,,
,,,
1,出入境检验检疫机构实施检验检疫的进出境商品目录,,
,,,
1,黄某盗窃罪案,,
,,,
1,非居民企业所得税核定征收管理办法,《非居民企业所得税核定征收管理办法》,
2,,《中华人民共和国企业所得税法》,
3,,《中华人民共和国税收征收管理法》,
4,,《非居民企业所得税征收方式鉴定表》,
5,,《鉴定表》,
6,,《税务事项通知书》,
,,,
1,中华人民共和国外资企业法实施细则,《中华人民共和国外资企业法实施细则》,
2,,《国务院关于修改〈中华人民共和国外资企业法实施细则〉的决定》,
3,,《国务院关于废止和修改部分行政法规的决定》,
4,,《中华人民共和国外资企业法》,
5,,《中华人民共和国统计法》,
6,,《中华人民共和国工会法》,
7,,《中华人民共和国合同法》,
,,,
1,宅基地,《中华人民共和国物权法》,
2,,《中华人民共和国土地管理法》,
3,,《河北省土地管理条例》,
4,,《集体土地使用证》,
5,,《河北省农村宅基地管理规定》,
6,,《河北省农村宅基地管理规定修正案》,
7,,《土地管理法》,
8,,《物权法》,
9,,《决定》,
10,,《中华人民共和国宪法》,
11,,《中华人民共和国担保法》,
12,,《中华人民共和国城市房地产管理法》,
,,,
1,周某盗窃罪案,,
,,,
1,建筑,,
,,,
1,外商投资企业境内投资,,
,,,
1,外商 与 投资,,
,,,
1,国家税务总局关于贯彻落实企业所得税法若干税收问题的通知,《中华人民共和国企业所得税法》,
2,,《中华人民共和国企业所得税法实施条例》,
3,,《实施条例》,
4,,《国家税务总局关于企业所得税若干税务事项衔接问题的通知》,
,,,
1,化妆品,《化妆品标识管理规定》,
2,,《前瞻互联网对中国化妆品行业的机遇挑战与应对策略专项咨询报告》,
3,,《化妆品生产企业卫生许可证》,
4,,《化妆品卫生标准》,
5,,《化妆品卫生规范》,
6,,《化妆品卫生监督条例》,
7,,《化妆品生产企业卫生规范》,
8,,《卫生许可证》,
9,,《中华人民共和国国家标准：消费品使用说明化妆品通用标签》,
10,,《化妆品广告管理条例》,
11,,《广告法》,
12,,《反不正当竞争法》,
13,,《消费者权益保护法》,
14,,《产品质量法》,
15,,《计量法》,
16,,《标准化法》,
17,,《中华人民共和国工业产品许可条例》,
18,,《工业产品生产许可证》,
19,,《化妆品卫生化学标准检验方法》,
20,,《定量包装商品净含量计量检验规则》,
21,,《化妆品通用试验方法》,
,,,
1,固定资产,《企业会计准则》,
2,,《英汉证券投资词典》,
3,,《中华人民共和国节约能源法》,
4,,《国务院关于加强节能工作的决定》,
5,,《建设项目前期工作咨询收费暂行规定》,
,,,
1,contract law,,
,,,
1,商品房预售许可证,《商品房预售许可证》,
2,,《工程验收证》,
3,,《商品房销售(预售)许可证》,
4,,《城市房地产管理法》,
5,,《城市房地产开发经营管理条例》,
6,,《城市商品房预售管理办法》,
7,,《中华人民共和国城市房地产管理法》,
,,,
1,房地产开发,,
,,,
1,办事处,《外国企业常驻代表机构设立申请表》,
2,,《外国企业常驻代表机构人员申报表》,
3,,《外国企业常驻代表机构登记证》,
4,,《外出经营活动税收管理证明》,
,,,
1,营业税法,,
,,,
1,增值税专用发票抵扣,,
,,,
1,美容,《楚辞·九章·惜往日》,
2,,《吴越春秋·王僚使公子光传》,
3,,《简易经》,
4,,《2013-2017年中国美容机构行业深度调研与投资战略规划分析报告》,
5,,《医疗整形美容行业发展规划纲要》,
6,,《本草纲目》,
7,,《中国美容经济年度报告》,
8,,《关于加强美容服务管理的通知》,
,,,
1,广告费,《中华人民共和国广告法》,
2,,《财政部、国家税务总局关于广告费和业务宣传费支出税前扣除政策的通知》,
3,,《中华人民共和国发票管理办法》,
4,,《企业所得税税前扣除办法》,
5,,《企业所得税法实施条例》,
6,,《国家税务总局关于印发的通知》,
7,,《国家税务总局关于调整部分行业广告费用所得税前扣除标准的通知》,
8,,《国务院关于第三批取消和调整行政审批项目的决定》,
9,,《国家税务总局关于做好已取消和下放管理的企业所得税审批项目后续管理工作的通知》,
10,,《国家税务总局关于调整制药企业广告费税前扣除标准的通知》,
11,,《国家税务总局关于调整服装生产企业广告费支出企业所得税税前扣除标准的通知》,
12,,《国家税务总局关于房地产开发业务征收企业所得税问题的通知》,
,,,
1,劳动争议调解仲裁法,《中华人民共和国劳动争议调解仲裁法》,
2,,《劳动法》,
,,,
1,盈余公积,《企业所得税》,
,,,
1,拍卖法 或 四十五条,,
,,,
1,医师执业,《医师执业证》,
2,,《中华人民共和国执业医师法》,
3,,《专业证书》,
4,,《学业证书》,
5,,《医师资格考试报名资格规定（2006版）》,
6,,《医师资格证书》,
7,,《医师执业证书》,
8,,《传统医学师承出师证书》,
9,,《传统医学医术确有专长证书》,
10,,《传统医学师承和确有专长人员医师资格考核合格证书》,
11,,《卫生部关于修订第三十四条的通知》,
12,,《中华人民共和国卫生部令》,
13,,《医师资格考试暂行办法》,
14,,《医师资格考试大纲》,
15,,《医师资格考试报名暨授予医师资格申请表》,
16,,《医疗机构执业许可证副本》,
17,,《试用期考核合格证明》,
18,,《助理医师资格证书》,
19,,《助理医师执业证书》,
20,,《医师资格考试报名信息代码手册》,
21,,"《医师资格考试报名暨授予医师|
申请表》",
22,,《医师资格考试违规处理规定》,
,,,
1,外商投资企业境内再投资,,
,,,
1,外商投资企业境内再投资暂行规定,,
,,,
1,国家秘密,《中华人民共和国保守国家秘密法》,
2,,《国家秘密文件、资料和其他物品标志的规定》,
3,,《保密法》,
4,,《保密法实施办法》,
,,,
1,"侵入, 计算机系统",,
,,,
1,非居民企业股权转让,,
,,,
1,合并,《庄子·则阳》,
2,,《元典章·户部三·分析》,
3,,《奏登师出海之期疏》,
4,,《母弟温甫哀词》,
5,,《洪波曲》,
6,,《杂诗》,
7,,《与孟东野书》,
8,,《赠人》,
9,,《节寰袁公行状》,
,,,
1,新会计准则,《国务院关于〈企业财务通则〉、〈企业会计准则〉的批复》,
2,,《企业财务通则》,
3,,《新会计准则----基本准则》,
