keyword,original terms,new terms,same
中华人民共和国企业所得税法实施条例,中华 / 人民 / 共和国 / 企业 / 所得税 / 法 / 实施 / 条例,中华人民共和国 / 企业 / 所得税法 / 实施 / 条例,N
关于外商投资的公司审批登记管理法律适用若干问题的执行意见,关于 / 外商 / 投资 / 的 / 公司 / 审批 / 登记 / 管理 / 法律 / 适用 / 若干 / 问题 / 的 / 执行 / 意见,关于 / 外商 / 投资 / 的 / 公司 / 审批 / 登记 / 管理 / 法律 / 适用 / 若干 / 问题 / 的 / 执行 / 意见,Y
外汇,外汇,外汇,Y
著作权法,着 / 作权 / 法,着 / 作 / 权 / 法,N
中华人民共和国营业税暂行条例,中华 / 人民 / 共和国 / 营业税 / 暂行 / 条例,中华人民共和国 / 营业税 / 暂行 / 条例,N
外国企业常驻代表机构,外国 / 企业 / 常驻 / 代表 / 机构,外国 / 企业 / 常驻 / 代表 / 机构,Y
中外合资经营企业法,中外 / 合资 / 经营 / 企业 / 法,中外合资 / 经营 / 企业法,N
高新技术企业认定管理办法,高新 / 技术 / 企业 / 认定 / 管理 / 办法,高新技术 / 企业 / 认定 / 管理 / 办法,N
外汇管理条例,外汇 / 管理 / 条例,外汇 / 管理 / 条例,Y
破产法,破产法,破产法,Y
企业所得税实施条例,企业 / 所得税 / 实施 / 条例,企业 / 所得税 / 实施 / 条例,Y
外债,外债,外债,Y
保险,保险,保险,Y
土地使用税,土地 / 使用 / 税,土地使用税,N
李某某盗窃罪案,李 / 某某 / 盗窃 / 罪案,李某 / 某 / 盗窃 / 罪案,N
返程投资,返程 / 投资,返程 / 投资,Y
商业秘密,商业 / 秘密,商业 / 秘密,Y
外商投资项目核准暂行管理办法,外商 / 投资 / 项目 / 核准 / 暂行 / 管理 / 办法,外商 / 投资 / 项目 / 核准 / 暂行 / 管理 / 办法,Y
非居民企业,非 / 居民 / 企业,非 / 居民 / 企业,Y
关于外商投资企业境内投资的暂行规定,关于 / 外商 / 投资 / 企业 / 境内 / 投资 / 的 / 暂行 / 规定,关于 / 外商 / 投资 / 企业 / 境内 / 投资 / 的 / 暂行 / 规定,Y
土地管理法,土地 / 管理 / 法,土地管理法,N
劳动争议,劳动 / 争议,劳动 / 争议,Y
个人所得税法实施条例,个人 / 所得税 / 法 / 实施 / 条例,个人 / 所得税法 / 实施 / 条例,N
税收协定,税收 / 协定,税收 / 协定,Y
境外投资管理办法,境外 / 投资 / 管理 / 办法,境外 / 投资 / 管理 / 办法,Y
特别纳税调整,特别 / 纳税 / 调整,特别 / 纳税 / 调整,Y
消费税,消费 / 税,消费税,N
发票管理办法,发票 / 管理 / 办法,发票 / 管理 / 办法,Y
产品质量法,产品 / 质量 / 法,产品 / 质量 / 法,Y
增值税专用发票使用规定,增值税 / 专用 / 发票 / 使用 / 规定,增值税 / 专用 / 发票 / 使用 / 规定,Y
企业并购,企业 / 并购,企业 / 并购,Y
受益所有人,受益 / 所有 / 人,受益 / 所有 / 人,Y
"""国有"" 与 ""评估""",国有 / 与 / 评估,国有 / 与 / 评估,Y
投资性公司,投资性 / 公司,投资性公司,N
营业税改增值税,营业税 / 改 / 增值税,营业税 / 改 / 增值税,Y
转让定价,转让 / 定价,转让 / 定价,Y
反垄断,反 / 垄断,反 / 垄断,Y
企业所得税法实施细则,企业 / 所得税 / 法 / 实施 / 细则,企业 / 所得税法 / 实施 / 细则,N
增值税专用发票,增值税 / 专用 / 发票,增值税 / 专用 / 发票,Y
吸收合并,吸收 / 合并,吸收 / 合并,Y
中华人民共和国个人所得税法,中华 / 人民 / 共和国 / 个人 / 所得税 / 法,中华人民共和国 / 个人 / 所得税法,N
财税[2011]111号,财税 / 2011 / 111 / 号,财税111 / 号,N
中日税收协定,中 / 日 / 税收 / 协定,中 / 日 / 税收 / 协定,Y
来料加工,来料 / 加工,来料加工,N
著作权,着 / 作权,着 / 作 / 权,N
股权投资,股权 / 投资,股权 / 投资,Y
股权转让 企业所得税,股权 / 转让 / 企业 / 所得税,股权 / 转让 / 企业 / 所得税,Y
委托贷款,委托 / 贷款,委托 / 贷款,Y
营业税暂行条例实施细则,营业税 / 暂行 / 条例 / 实施 / 细则,营业税 / 暂行 / 条例 / 实施 / 细则,Y
住房公积金,住房 / 公积金,住房 / 公积金,Y
广告法,广告法,广告法,Y
保税区,保税区,保税区,Y
所得税,所得税,所得税,Y
上市公司收购管理办法,上市 / 公司 / 收购 / 管理 / 办法,上市 / 公司 / 收购 / 管理 / 办法,Y
油污,油污,油污,Y
重组,重组,重组,Y
非居民企业所得税源泉扣缴管理暂行办法,非 / 居民 / 企业 / 所得税 / 源泉 / 扣缴 / 管理 / 暂行 / 办法,非 / 居民 / 企业 / 所得税 / 源泉 / 扣缴 / 管理 / 暂行 / 办法,Y
互联网信息服务管理办法,互联网 / 信息 / 服务 / 管理 / 办法,互联网 / 信息 / 服务 / 管理 / 办法,Y
股权激励,股权 / 激励,股权激励,N
仲裁法,仲裁法,仲裁 / 法,N
中华人民共和国劳动法,中华 / 人民 / 共和国 / 劳动法,中华人民共和国 / 劳动法,N
招投标,招投标,招 / 投标,N
研发中心,研发 / 中心,研发 / 中心,Y
清算,清算,清算,Y
外商投资企业投资者股权变更的若干规定,外商 / 投资 / 企业 / 投资者 / 股权 / 变更 / 的 / 若干 / 规定,外商 / 投资 / 企业 / 投资者 / 股权 / 变更 / 的 / 若干 / 规定,Y
增值税法,增值 / 税法,增值 / 税法,Y
股权质押,股权 / 质押,股权 / 质押,Y
中华人民共和国外商投资企业和外国企业所得税法,中华 / 人民 / 共和国 / 外商 / 投资 / 企业 / 和 / 外国 / 企业 / 所得税 / 法,中华人民共和国 / 外商 / 投资 / 企业 / 和 / 外国 / 企业 / 所得税法,N
增值税发票,增值税 / 发票,增值税 / 发票,Y
医疗期,医疗期,医疗 / 期,N
技术先进型服务企业,技术 / 先进型 / 服务 / 企业,技术 / 先进 / 型 / 服务 / 企业,N
合伙企业法,合伙 / 企业 / 法,合伙 / 企业法,N
境外投资项目核准暂行管理办法,境外 / 投资 / 项目 / 核准 / 暂行 / 管理 / 办法,境外 / 投资 / 项目 / 核准 / 暂行 / 管理 / 办法,Y
中外合资,中外 / 合资,中外合资,N
佣金,佣金,佣金,Y
中华人民共和国房产税暂行条例,中华 / 人民 / 共和国 / 房产税 / 暂行 / 条例,中华人民共和国 / 房产税 / 暂行 / 条例,N
698号文,698 / 号 / 文,698 / 号 / 文,Y
交通运输业和部分现代服务业营业税改征增值税试点实施办法,交通 / 运输业 / 和 / 部分 / 现代 / 服务业 / 营业税 / 改征 / 增值税 / 试点 / 实施 / 办法,交通运输业 / 和 / 部分 / 现代 / 服务业 / 营业税 / 改 / 征 / 增值税 / 试点 / 实施 / 办法,N
医疗器械,医疗 / 器械,医疗 / 器械,Y
外债管理暂行办法,外债 / 管理 / 暂行 / 办法,外债 / 管理 / 暂行 / 办法,Y
船舶污染,船舶 / 污染,船舶 / 污染,Y
劳保用品,劳保 / 用品,劳保 / 用品,Y
贷款通则,贷款 / 通则,贷款 / 通则,Y
股票期权,股票 / 期权,股票期权,N
药品注册管理办法,药品 / 注册 / 管理 / 办法,药品 / 注册 / 管理 / 办法,Y
重庆政策法规,重庆 / 政策 / 法规,重庆 / 政策 / 法规,Y
中外合作,中外 / 合作,中外 / 合作,Y
中华人民共和国政府和新加坡共和国政府关于对所得避免双重征税和防止偷漏税的协定,中华 / 人民 / 共和国 / 政府 / 和 / 新加坡 / 共和国 / 政府 / 关于 / 对 / 所得 / 避免 / 双重 / 征税 / 和 / 防止 / 偷 / 漏税 / 的 / 协定,中华人民共和国 / 政府 / 和 / 新加坡共和国 / 政府 / 关于 / 对 / 所得 / 避免 / 双重 / 征税 / 和 / 防止 / 偷 / 漏税 / 的 / 协定,N
征管法,征管法,征管法,Y
国税发[2009]3号,国 / 税发 / 2009 / 3 / 号,国税 / 发3 / 号,N
特别纳税调整实施办法,特别 / 纳税 / 调整 / 实施 / 办法,特别 / 纳税 / 调整 / 实施 / 办法,Y
财税[2003]16号,财税 / 2003 / 16 / 号,财税16 / 号,N
股息,股息,股息,Y
张某盗窃罪案,张 / 某 / 盗窃 / 罪案,张某 / 盗窃 / 罪案,N
股权,股权,股权,Y
招标投标法,招标 / 投标 / 法,招标 / 投标法,N
企业重组业务企业所得税管理办法,企业 / 重组 / 业务 / 企业 / 所得税 / 管理 / 办法,企业重组 / 业务 / 企业 / 所得税 / 管理 / 办法,N
产假,产假,产假,Y
税收征管法实施细则,税收 / 征管法 / 实施 / 细则,税收 / 征管法 / 实施 / 细则,Y
国家税务总局关于加强非居民企业股权转让所得企业所得税管理的通知,国家 / 税务 / 总局 / 关于 / 加强 / 非 / 居民 / 企业 / 股权 / 转让 / 所得 / 企业 / 所得税 / 管理 / 的 / 通知,国家 / 税务 / 总局 / 关于 / 加强 / 非 / 居民 / 企业 / 股权 / 转让 / 所得 / 企业 / 所得税 / 管理 / 的 / 通知,Y
中国香港税收协定,中国 / 香港 / 税收 / 协定,中国 / 香港 / 税收 / 协定,Y
中华人民共和国公司登记管理条例,中华 / 人民 / 共和国 / 公司 / 登记 / 管理 / 条例,中华人民共和国 / 公司 / 登记 / 管理 / 条例,N
工会经费,工会 / 经费,工会 / 经费,Y
中美税收协定,中 / 美 / 税收 / 协定,中 / 美 / 税收 / 协定,Y
刘某某盗窃罪案,刘 / 某某 / 盗窃 / 罪案,刘 / 某某 / 盗窃 / 罪案,Y
发票,发票,发票,Y
劳动,劳动,劳动,Y
社会保险费征缴暂行条例,社会 / 保险费 / 征缴 / 暂行 / 条例,社会保险 / 费 / 征 / 缴 / 暂行 / 条例,N
广东劳动合同法,广东 / 劳动 / 合同 / 法,广东 / 劳动 / 合同法,N
税法,税法,税法,Y
国税函[2009]3号,国税函 / 2009 / 3 / 号,国税 / 函3 / 号,N
国税发[2009]2号,国 / 税发 / 2009 / 2 / 号,国税 / 发2 / 号,N
地区总部,地区 / 总部,地区 / 总部,Y
境外担保,境外 / 担保,境外 / 担保,Y
转口贸易,转口 / 贸易,转口 / 贸易,Y
房产税暂行条例,房产税 / 暂行 / 条例,房产税 / 暂行 / 条例,Y
合同,合同,合同,Y
698,698,698,Y
电力,电力,电力,Y
卖出回购,卖 / 出 / 回购,卖出 / 回购,N
中外合资企业法,中外 / 合资 / 企业 / 法,中外合资 / 企业法,N
经营者集中,经营者 / 集中,经营者 / 集中,Y
财税[2008]1号,财税 / 2008 / 1 / 号,财税1 / 号,N
中华人民共和国外资企业法,中华 / 人民 / 共和国 / 外资 / 企业 / 法,中华人民共和国 / 外资 / 企业法,N
企业国有产权转让管理暂行办法,企业 / 国有 / 产权 / 转让 / 管理 / 暂行 / 办法,企业 / 国有 / 产权转让 / 管理 / 暂行 / 办法,N
土地,土地,土地,Y
土地增值税 核定征收,土地 / 增值税 / 核定 / 征收,土地增值税 / 核定 / 征收,N
营业税税目注释,营业税 / 税目 / 注释,营业税 / 税目 / 注释,Y
外国企业常驻代表机构登记管理条例,外国 / 企业 / 常驻 / 代表 / 机构 / 登记 / 管理 / 条例,外国 / 企业 / 常驻 / 代表 / 机构 / 登记 / 管理 / 条例,Y
香港税收协定,香港 / 税收 / 协定,香港 / 税收 / 协定,Y
产品质量,产品 / 质量,产品 / 质量,Y
独立董事,独立 / 董事,独立 / 董事,Y
消费者权益保护法,消费者 / 权益 / 保护法,消费者 / 权益 / 保护法,Y
关于企业重组业务企业所得税处理若干问题的通知,关于 / 企业 / 重组 / 业务 / 企业 / 所得税 / 处理 / 若干 / 问题 / 的 / 通知,关于 / 企业重组 / 业务 / 企业 / 所得税 / 处理 / 若干 / 问题 / 的 / 通知,N
併购,并购,并购,Y
代扣代缴,代扣 / 代缴,代 / 扣 / 代 / 缴,N
增资,增资,增资,Y
食品安全民事责任,食品 / 安全 / 民事 / 责任,食品 / 安全 / 民事 / 责任,Y
会计法,会计法,会计法,Y
住房公积金管理条例,住房 / 公积金 / 管理 / 条例,住房 / 公积金 / 管理 / 条例,Y
中华人民共和国社会保险法,中华 / 人民 / 共和国 / 社会 / 保险法,中华人民共和国 / 社会 / 保险法,N
海关,海关,海关,Y
企业年金,企业 / 年金,企业 / 年金,Y
外商投资企业清算办法,外商 / 投资 / 企业 / 清算 / 办法,外商 / 投资 / 企业 / 清算 / 办法,Y
外商独资企业法,外商 / 独资 / 企业 / 法,外商独资企业 / 法,N
加工贸易,加工 / 贸易,加工 / 贸易,Y
危险化学品,危险 / 化学品,危险 / 化学品,Y
分支机构,分支 / 机构,分支 / 机构,Y
中华人民共和国印花税暂行条例,中华 / 人民 / 共和国 / 印花税 / 暂行 / 条例,中华人民共和国 / 印花税 / 暂行 / 条例,N
中华人民共和国增值税暂行条例实施细则,中华 / 人民 / 共和国 / 增值税 / 暂行 / 条例 / 实施 / 细则,中华人民共和国 / 增值税 / 暂行 / 条例 / 实施 / 细则,N
工伤,工伤,工伤,Y
qflp,QFLP,QFLP,Y
教育费附加,教育费 / 附加,教育费 / 附加,Y
业务招待费,业务 / 招待费,业务 / 招待费,Y
分公司,分公司,分公司,Y
中华人民共和国税收征管法,中华 / 人民 / 共和国 / 税收 / 征管法,中华人民共和国 / 税收 / 征管法,N
购物卡 增值税,购物卡 / 增值税,购物卡 / 增值税,Y
关于规范房地产市场外资准入和管理的意见,关于 / 规范 / 房地产 / 市场 / 外资 / 准入 / 和 / 管理 / 的 / 意见,关于 / 规范 / 房地产 / 市场 / 外资 / 准入 / 和 / 管理 / 的 / 意见,Y
中华人民共和国税收征收管理法实施细则,中华 / 人民 / 共和国 / 税收 / 征收 / 管理 / 法 / 实施 / 细则,中华人民共和国 / 税收 / 征收 / 管理 / 法 / 实施 / 细则,N
税收征收,税收 / 征收,税收 / 征收,Y
国税发[2009]124号,国 / 税发 / 2009 / 124 / 号,国税 / 发124 / 号,N
外商投资商业领域管理办法,外商 / 投资 / 商业 / 领域 / 管理 / 办法,外商 / 投资 / 商业 / 领域 / 管理 / 办法,Y
职工教育经费,职工 / 教育 / 经费,职工 / 教育 / 经费,Y
非居民承包工程作业和提供劳务税收管理暂行办法,非 / 居民 / 承包 / 工程 / 作业 / 和 / 提供 / 劳务 / 税收 / 管理 / 暂行 / 办法,非 / 居民 / 承包 / 工程 / 作业 / 和 / 提供 / 劳务 / 税收 / 管理 / 暂行 / 办法,Y
企业国有资产监督管理暂行条例,企业 / 国有 / 资产 / 监督 / 管理 / 暂行 / 条例,企业 / 国有 / 资产 / 监督 / 管理 / 暂行 / 条例,Y
行政诉讼法,行政 / 诉讼 / 法,行政诉讼法,N
周某某盗窃罪案,周 / 某 / 某 / 盗窃 / 罪案,周 / 某某 / 盗窃 / 罪案,N
保险兼业代理,保险 / 兼业 / 代理,保险 / 兼 / 业 / 代理,N
技术转让,技术 / 转让,技术 / 转让,Y
中外合资企业,中外 / 合资 / 企业,中外合资 / 企业,N
生育津贴,生育 / 津贴,生育 / 津贴,Y
职工代表大会,职工 / 代表 / 大会,职工 / 代表大会,N
中华人民共和国外汇管理条例,中华 / 人民 / 共和国 / 外汇 / 管理 / 条例,中华人民共和国 / 外汇 / 管理 / 条例,N
国税发[2010]75号,国 / 税发 / 2010 / 75 / 号,国税 / 发75 / 号,N
建设部 改制,建设部 / 改制,建设部 / 改制,Y
外商投资性公司,外商 / 投资性 / 公司,外商 / 投资性公司,N
高新技术企业认定管理工作指引,高新 / 技术 / 企业 / 认定 / 管理 / 工作 / 指引,高新技术 / 企业 / 认定 / 管理 / 工作 / 指引,N
工伤保险,工伤 / 保险,工伤保险,N
海关法,海关法,海关法,Y
租赁,租赁,租赁,Y
外国人就业,外国人 / 就业,外国人 / 就业,Y
西部地区鼓励类产业目录,西部 / 地区 / 鼓励 / 类 / 产业 / 目录,西部 / 地区 / 鼓励类 / 产业 / 目录,N
资源税,资源 / 税,资源税,N
诉讼时效,诉讼 / 时效,诉讼 / 时效,Y
知识产权,知识 / 产权,知识 / 产权,Y
国税函[2009]698号,国税函 / 2009 / 698 / 号,国税 / 函698 / 号,N
常驻代表机构,常驻 / 代表 / 机构,常驻 / 代表 / 机构,Y
外国投资者并购境内企业暂行规定,外国 / 投资者 / 并购 / 境内 / 企业 / 暂行 / 规定,外国 / 投资者 / 并购 / 境内 / 企业 / 暂行 / 规定,Y
国家重点支持的高新技术领域,国家 / 重点 / 支持 / 的 / 高新 / 技术 / 领域,国家 / 重点 / 支持 / 的 / 高新技术 / 领域,N
境内外汇账户管理规定,境内 / 外汇 / 账户 / 管理 / 规定,境内 / 外汇 / 账户 / 管理 / 规定,Y
城建税,城建税,城建 / 税,N
城镇土地使用税,城镇 / 土地 / 使用 / 税,城镇 / 土地使用税,N
营业税差额征税管理办法,营业税 / 差额 / 征税 / 管理 / 办法,营业税 / 差额 / 征税 / 管理 / 办法,Y
股权收购,股权 / 收购,股权 / 收购,Y
查封 出租,查封 / 出租,查封 / 出租,Y
境内企业在境外发行股票,境内 / 企业 / 在 / 境外 / 发行 / 股票,境内 / 企业 / 在 / 境外 / 发行 / 股票,Y
张某某盗窃罪案,张 / 某某 / 盗窃 / 罪案,张某 / 某 / 盗窃 / 罪案,N
财政部 国家税务总局关于企业重组业务企业所得税处理若干问题的通知,财政部 / 国家 / 税务 / 总局 / 关于 / 企业 / 重组 / 业务 / 企业 / 所得税 / 处理 / 若干 / 问题 / 的 / 通知,财政部 / 国家 / 税务 / 总局 / 关于 / 企业重组 / 业务 / 企业 / 所得税 / 处理 / 若干 / 问题 / 的 / 通知,N
关税,关税,关税,Y
关于外商投资举办投资性公司的规定,关于 / 外商 / 投资 / 举办 / 投资性 / 公司 / 的 / 规定,关于 / 外商 / 投资 / 举办 / 投资性公司 / 的 / 规定,N
d,D,D,Y
企业所得税实施细则,企业 / 所得税 / 实施 / 细则,企业 / 所得税 / 实施 / 细则,Y
国有资产,国有 / 资产,国有 / 资产,Y
中华人民共和国民事诉讼法,中华 / 人民 / 共和国 / 民事 / 诉讼 / 法,中华人民共和国 / 民事诉讼法,N
广告,广告,广告,Y
外商投资创业投资企业管理规定,外商 / 投资 / 创业 / 投资 / 企业 / 管理 / 规定,外商 / 投资 / 创业 / 投资 / 企业 / 管理 / 规定,Y
非独立核算,非 / 独立 / 核算,非 / 独立 / 核算,Y
资产重组,资产 / 重组,资产重组,N
小额贷款公司,小额 / 贷款 / 公司,小额贷款 / 公司,N
代垫费用,代垫 / 费用,代垫 / 费用,Y
关联交易,关联 / 交易,关联 / 交易,Y
无固定期限劳动合同,无 / 固定 / 期限 / 劳动 / 合同,无 / 固定 / 期限 / 劳动 / 合同,Y
香港,香港,香港,Y
中华人民共和国营业税暂行条例实施细则,中华 / 人民 / 共和国 / 营业税 / 暂行 / 条例 / 实施 / 细则,中华人民共和国 / 营业税 / 暂行 / 条例 / 实施 / 细则,N
增值税实施细则,增值税 / 实施 / 细则,增值税 / 实施 / 细则,Y
境内机构对外担保管理办法,境内 / 机构 / 对外 / 担保 / 管理 / 办法,境内 / 机构 / 对外 / 担保 / 管理 / 办法,Y
工会法,工会法,工会法,Y
进口旧机电,进口 / 旧 / 机电,进口 / 旧 / 机电,Y
税务稽查,税务 / 稽查,税务 / 稽查,Y
刘某盗窃罪案,刘 / 某 / 盗窃 / 罪案,刘 / 某 / 盗窃 / 罪案,Y
城市维护建设税,城市 / 维护 / 建设 / 税,城市 / 维护 / 建设 / 税,Y
软件著作权,软件 / 着 / 作权,软件 / 着 / 作 / 权,N
农业设备,农业 / 设备,农业 / 设备,Y
劳资,劳资,劳资,Y
中华人民共和国发票管理办法,中华 / 人民 / 共和国 / 发票 / 管理 / 办法,中华人民共和国 / 发票 / 管理 / 办法,N
中外合资经营企业,中外 / 合资 / 经营 / 企业,中外合资 / 经营 / 企业,N
房屋租赁,房屋 / 租赁,房屋 / 租赁,Y
特殊性税务处理,特殊性 / 税务 / 处理,特殊性 / 税务 / 处理,Y
资产评估,资产 / 评估,资产 / 评估,Y
行政处罚法,行政 / 处罚 / 法,行政处罚法,N
保密,保密,保密,Y
职工福利,职工 / 福利,职工 / 福利,Y
王某盗窃罪案,王 / 某 / 盗窃 / 罪案,王某 / 盗窃 / 罪案,N
中国 香港 税收协定,中国 / 香港 / 税收 / 协定,中国 / 香港 / 税收 / 协定,Y
增值税一般纳税人资格认定管理办法,增值税 / 一般 / 纳税人 / 资格 / 认定 / 管理 / 办法,增值税 / 一般 / 纳税人 / 资格 / 认定 / 管理 / 办法,Y
对外担保,对外 / 担保,对外 / 担保,Y
国税发[2008]28号,国 / 税发 / 2008 / 28 / 号,国税 / 发28 / 号,N
信托法,信托法,信托法,Y
宪法,宪法,宪法,Y
公司,公司,公司,Y
债转股,债 / 转股,债转股,N
股权并购,股权 / 并购,股权 / 并购,Y
劳务报酬,劳务 / 报酬,劳务 / 报酬,Y
生产型外商投资企业,生产型 / 外商 / 投资 / 企业,生产型 / 外商 / 投资 / 企业,Y
电子商务,电子 / 商务,电子商务,N
外商独资企业,外商 / 独资 / 企业,外商独资企业,N
广告宣传,广告 / 宣传,广告 / 宣传,Y
财税[2011]131号,财税 / 2011 / 131 / 号,财税131 / 号,N
